title,description,category,difficulty,estimatedTime,severity,tools,materials,tags,steps,safetyTips,published
Troubleshoot Electric Outlet Not Working,Fix dead electrical outlet or receptacle,Electrical,intermediate,20 minutes,high,voltage tester screwdriver,electrical outlet GFCI,electrical outlet power GFCI receptacle,Test with known device | Try different device in outlet;Check circuit breaker | Look for tripped breaker in panel;Test GFCI outlets | Press reset button on GFCI outlets;Check outlet wiring | Inspect connections behind outlet;Test voltage | Use voltage tester to check power presence,Always turn off power at breaker before wiring work,true
Fix Automatic Pool Cleaner,Repair robotic or suction pool cleaner,Pool Maintenance,intermediate,30 minutes,medium,none,pool cleaner parts,automatic pool cleaner suction robotic maintenance,Check power supply | Ensure cleaner has power or full charge;Clear debris | Remove leaves and debris from cleaner;Inspect hoses | Look for holes or clogs in suction hoses;Clean filters | Remove and wash cleaner filter bags;Test suction | Verify adequate pump suction for cleaner,Regular cleaning prevents most pool cleaner issues,true
Reset Electronic Door Lock,Fix keypad or smart door lock malfunction,Home Security,intermediate,20 minutes,medium,none,batteries,electronic door lock keypad smart security,Replace batteries | Install fresh batteries in lock mechanism;Check programming | Verify user codes are programmed correctly;Reset to defaults | Use factory reset procedure if available;Clean keypad | Wipe keypad contacts with dry cloth;Test all functions | Verify lock unlock and keypad operation,Keep backup key available during troubleshooting,true
Fix Humidifier Not Working,Troubleshoot whole house or portable humidifier,HVAC,beginner,25 minutes,medium,none,humidifier filter water,humidifier humidity air quality dry air,Check water supply | Ensure adequate water in reservoir;Replace filter | Install new humidifier filter if needed;Clean mineral deposits | Remove scale buildup from unit;Check humidity setting | Verify humidistat setting is appropriate;Inspect drain line | Clear any clogs in drainage system,Use distilled water to reduce mineral buildup,true
Troubleshoot Surround Sound System,Fix home theater audio problems,Technology,intermediate,30 minutes,medium,none,audio cables,surround sound audio home theater speakers,Check all connections | Verify all audio and power cables;Test individual speakers | Check each speaker for proper operation;Check receiver settings | Verify correct input and speaker settings;Update firmware | Install latest receiver firmware updates;Reset to defaults | Factory reset receiver if problems persist,Label cables before disconnecting for easier reconnection,true
Fix Leaking Shower Head,Stop water dripping from shower head,Plumbing,beginner,20 minutes,low,pipe wrench,Teflon tape O-rings,shower head leak drip water pressure,Turn off water supply | Shut off shower water at valve;Remove shower head | Unscrew head from shower arm;Clean threads | Remove old tape and debris from threads;Apply new tape | Wrap threads with Teflon tape clockwise;Reinstall head | Screw head back on and test for leaks,Don't overtighten which can crack shower head,true
Reset Car Computer After Battery Replacement,Restore car systems after battery change,Automotive,beginner,15 minutes,low,none,none,car computer reset battery replacement ECU,Start engine | Let car idle for 10 minutes;Drive normally | Take short drive to reset adaptive systems;Check all electronics | Test radio clock and other systems;Reset trip computer | Clear trip odometer and fuel economy;Program garage door opener | Reprogram if equipped,Some systems may need professional reset,true
Fix Sticky Cabinet Doors,Resolve cabinet doors that stick or bind,Home Maintenance,beginner,20 minutes,low,sandpaper,wood lubricant wax,cabinet doors sticky binding hinges wood,Check hinge alignment | Ensure hinges are properly aligned;Sand high spots | Lightly sand areas where door binds;Lubricate hinges | Apply appropriate hinge lubricant;Adjust door position | Loosen and reposition hinges if needed;Apply door wax | Use furniture wax on door edges,Humidity changes can cause wood doors to swell,true
Troubleshoot Garden Sprinkler Timer,Fix automatic sprinkler system controller,Landscaping,intermediate,30 minutes,medium,screwdriver,timer backup battery,sprinkler timer controller irrigation programming,Check power supply | Verify electrical power to timer unit;Replace backup battery | Install fresh battery for memory backup;Review programming | Check all timer settings and schedules;Test manual operation | Run each zone manually from controller;Reset to defaults | Clear programming and start over if needed,Keep manual programming instructions for reference,true
Fix Loose Bannister Railing,Tighten wobbly stair handrail,Home Maintenance,intermediate,30 minutes,medium,screwdriver drill,wood screws brackets,bannister railing loose stair handrail safety,Check mounting brackets | Inspect all brackets for looseness;Tighten existing screws | Use screwdriver to tighten loose screws;Add additional screws | Install extra screws for better support;Replace worn brackets | Install new mounting brackets if needed;Test stability | Check railing stability after repair,Loose railings are safety hazards that need immediate attention,true
Reset Programmable Car Key,Fix car remote or key fob programming,Automotive,beginner,15 minutes,low,none,car manual,car key remote programming FOB keyless entry,Enter programming mode | Follow specific sequence for your car model;Press key buttons | Activate lock unlock buttons as directed;Test key operation | Verify remote functions work properly;Program multiple keys | Add additional keys if needed;Exit programming mode | Complete sequence to save settings,Programming steps vary by car manufacturer and model,true
