title,description,category,difficulty,estimatedTime,severity,tools,materials,tags,steps,safetyTips,published
Repair Leaky Roof Shingle,Fix minor roof leak temporarily,Home Maintenance,intermediate,45 minutes,high,"ladder,roofing cement","roofing cement,replacement shingle","roof,shingle,leak,repair,water,damage","Locate leak source | Find damaged or missing shingles;Apply roofing cement | Use cement to seal small holes or cracks;Replace damaged shingles | Install new shingle if severely damaged","Never work on wet roof,Use proper ladder safety",true
Fix Refrigerator Ice Dispenser,Repair ice maker dispenser problems,Appliances,intermediate,35 minutes,medium,"screwdriver,multimeter",none,"refrigerator,ice,dispenser,maker,frozen,motor","Check for ice blockages | Remove ice bin and check for clumps;Test dispenser motor | Listen for motor operation when activated;Reset ice maker system | Turn off for 24 hours then restart","Don't use sharp objects to break ice,Allow system to reset completely",true
Troubleshoot Central Air Unit,Fix central AC not running properly,HVAC,intermediate,50 minutes,high,"multimeter,coil cleaner","air filter,electrical contactors","central,air,ac,cooling,compressor,refrigerant","Check electrical connections | Verify power to outdoor unit;Clean condenser coils | Remove debris and wash coils thoroughly;Test capacitors | Use multimeter to check start and run capacitors","Turn off power before cleaning,High voltage present in AC units",true
Replace Door Weather Stripping,Install new door seals for energy efficiency,Home Maintenance,beginner,30 minutes,low,"utility knife,measuring tape","weather stripping,adhesive","door,weather,stripping,seal,energy,draft","Remove old weather stripping | Pull off worn or damaged sealing material;Measure door frame | Cut new weather stripping to proper lengths;Install new stripping | Apply adhesive backing and press firmly in place","Clean surface before applying,Don't stretch weather stripping during installation",true
Fix Garbage Disposal Smell,Eliminate odors from garbage disposal,Plumbing,beginner,15 minutes,low,"ice cubes,tongs","baking soda,lemon,rock salt","garbage,disposal,smell,odor,cleaning,deodorize","Grind ice and salt | Run disposal with ice cubes and rock salt;Use baking soda | Pour baking soda down drain let sit then rinse;Grind citrus peels | Run lemon or orange peels through disposal","Keep disposal running with water,Don't use harsh chemicals",true
Repair Toilet Running Constantly,Fix toilet that won't stop running water,Plumbing,beginner,25 minutes,low,"none,adjustable wrench","toilet flapper,chain","toilet,running,water,flapper,chain,valve","Check flapper seal | Ensure rubber flapper sits flat on valve seat;Adjust chain length | Chain needs slight slack when flapper closed;Clean valve seat | Remove mineral buildup from around valve","Handle toilet parts gently,Make small adjustments to chain length",true
Fix Electrical Outlet Not Working,Troubleshoot dead electrical outlet,Electrical,intermediate,20 minutes,high,"voltage tester,screwdriver",none,"electrical,outlet,dead,power,circuit,breaker","Check circuit breaker | Look for tripped breaker in electrical panel;Test with voltage tester | Verify if power is reaching outlet;Check GFCI outlets | Press reset button on GFCI outlets","Never work on live circuits,Use proper voltage tester",true
Replace Vacuum Cleaner Belt,Install new drive belt in vacuum,Appliances,beginner,20 minutes,low,"screwdriver,none","replacement vacuum belt,none","vacuum,belt,replace,suction,brush,roller","Turn off and unplug vacuum | Ensure vacuum is completely powered off;Remove bottom plate | Access brush roller and belt compartment;Install new belt | Loop belt around motor shaft and brush roller","Unplug vacuum before any maintenance,Don't force belt installation",true
Fix Leaky Kitchen Faucet Base,Repair leak at faucet base connection,Plumbing,intermediate,35 minutes,medium,"basin wrench,Teflon tape","O-rings,packing,plumbers grease","kitchen,faucet,base,leak,packing,connection","Turn off water supply | Shut off valves under kitchen sink;Remove packing nut | Use basin wrench to access faucet base;Replace packing material | Install new O-rings or packing","Work in tight space under sink,Don't overtighten packing nut",true
Troubleshoot Dishwasher Won't Fill,Fix dishwasher not getting water,Appliances,intermediate,30 minutes,medium,"multimeter,screwdriver",none,"dishwasher,water,fill,valve,float,switch","Check water supply | Verify hot water supply to dishwasher;Test float switch | Ensure float moves freely up and down;Inspect water inlet valve | Check for clogs or electrical problems","Use hot water before starting dishwasher,Clean float assembly regularly",true
Fix Squeaky Bathroom Fan,Repair noisy exhaust fan in bathroom,Electrical,beginner,25 minutes,low,"screwdriver,lubricant",none,"bathroom,fan,squeaky,noisy,exhaust,motor","Turn off power to fan | Switch off at wall switch and breaker;Remove fan cover | Unscrew or unclip fan cover from ceiling;Lubricate fan motor | Apply few drops oil to motor bearings","Turn off power before maintenance,Don't over-lubricate motor",true
Replace Storm Door Closer,Install new automatic door closer,Home Maintenance,intermediate,40 minutes,medium,"drill,screwdriver","new door closer,screws","storm,door,closer,pneumatic,adjust,install","Remove old closer | Unscrew old closer from door and frame;Position new closer | Align closer brackets on door and frame;Adjust closing speed | Use adjustment screws to set closing rate","Follow manufacturer's instructions,Adjust gradually for proper operation",true
Fix Car Radio Not Working,Troubleshoot automotive stereo problems,Automotive,beginner,25 minutes,medium,"screwdriver,multimeter",none,"car,radio,stereo,fuse,antenna,wiring","Check radio fuse | Locate and test radio fuse in fuse box;Test antenna connection | Ensure antenna is properly connected;Verify power and ground | Check that radio has power and ground","Check owner's manual for fuse location,Don't force radio out of dashboard",true
Repair Sagging Gutter,Fix gutter that pulls away from house,Home Maintenance,intermediate,45 minutes,medium,"ladder,drill","gutter brackets,screws","gutter,sagging,bracket,downspout,support,repair","Identify problem areas | Find where gutter sags or pulls away;Add support brackets | Install additional brackets every 24 inches;Adjust gutter slope | Ensure slight slope toward downspouts","Use proper ladder safety,Maintain 1/4 inch slope per 10 feet",true
Fix Washing Machine Won't Spin,Troubleshoot washer that won't spin clothes,Appliances,intermediate,40 minutes,medium,"multimeter,socket wrench",none,"washing,machine,spin,lid,switch,motor","Check lid switch | Ensure lid closes completely and switch works;Test motor coupling | Inspect coupling between motor and transmission;Examine drive belt | Look for broken or slipped drive belt","Unplug washer before any repairs,Don't bypass safety switches",true
Replace Bathtub Caulk,Remove old caulk and apply new sealant,Home Maintenance,beginner,60 minutes,low,"caulk gun,utility knife","caulk,caulk remover","bathtub,caulk,seal,mold,mildew,bathroom","Remove old caulk | Use utility knife and caulk remover;Clean surface thoroughly | Remove all residue and let dry completely;Apply new caulk | Use steady pressure for smooth even bead","Allow 24 hours cure time,Keep area dry while curing",true
Fix Phone Battery Draining Fast,Extend smartphone battery life and reduce drain,Technology,beginner,20 minutes,medium,none,none,"phone,battery,drain,power,smartphone,life","Check battery usage stats | Review which apps consume most power;Adjust display settings | Lower brightness and reduce screen timeout;Disable unnecessary features | Turn off location services Bluetooth when not needed","Don't use phone while charging with damaged cables,Replace battery if very old",true
Fix Clogged Garbage Disposal,Clear food waste jam in disposal,Plumbing,beginner,20 minutes,medium,"allen wrench,tongs",none,"garbage,disposal,clog,jam,food,waste","Turn off power completely | Switch off at wall and circuit breaker;Remove visible debris | Use tongs never hands to extract food;Turn manually with allen wrench | Insert wrench in bottom and rotate","Never put hands in disposal,Always disconnect power first",true
